Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777865518799,CLICK,0,0,com.mele.logger
1777865520652,CLICK,0,0,com.sec.android.app.launcher
1777865521444,CLICK,0,0,com.ss.android.ugc.trill
1777865522331,SCROLL,0,325791,com.ss.android.ugc.trill
1777865522393,SCROLL,-4320,0,com.ss.android.ugc.trill
1777865533024,SCROLL,0,327572,com.ss.android.ugc.trill
1777865533130,SCROLL,0,327839,com.ss.android.ugc.trill
1777865533236,SCROLL,0,327840,com.ss.android.ugc.trill
1777865544179,SCROLL,0,329421,com.ss.android.ugc.trill
1777865544283,SCROLL,0,329886,com.ss.android.ugc.trill
1777865544389,SCROLL,0,329889,com.ss.android.ugc.trill
1777865555658,SCROLL,0,329911,com.ss.android.ugc.trill
1777865556209,SCROLL,0,329906,com.ss.android.ugc.trill
1777865556385,SCROLL,0,329909,com.ss.android.ugc.trill
1777865556533,SCROLL,0,329913,com.ss.android.ugc.trill
1777865557460,SCROLL,0,329880,com.ss.android.ugc.trill
1777865557644,SCROLL,0,329874,com.ss.android.ugc.trill
1777865557762,SCROLL,0,329867,com.ss.android.ugc.trill
1777865557876,SCROLL,0,329859,com.ss.android.ugc.trill
1777865558004,SCROLL,0,329848,com.ss.android.ugc.trill
1777865558113,SCROLL,0,329841,com.ss.android.ugc.trill
1777865558218,SCROLL,0,329835,com.ss.android.ugc.trill
1777865558361,SCROLL,0,329832,com.ss.android.ugc.trill
1777865558514,SCROLL,0,329822,com.ss.android.ugc.trill
1777865558621,SCROLL,0,329818,com.ss.android.ugc.trill
1777865558761,SCROLL,0,329819,com.ss.android.ugc.trill
1777865558944,SCROLL,0,329814,com.ss.android.ugc.trill
1777865559394,SCROLL,0,329813,com.ss.android.ugc.trill
1777865559645,SCROLL,0,329812,com.ss.android.ugc.trill
1777865559887,SCROLL,0,329811,com.ss.android.ugc.trill
1777865560589,SCROLL,0,329810,com.ss.android.ugc.trill
1777865562784,SCROLL,0,331375,com.ss.android.ugc.trill
1777865562902,SCROLL,0,331938,com.ss.android.ugc.trill
1777865569685,SCROLL,0,332015,com.ss.android.ugc.trill
1777865569792,SCROLL,0,332016,com.ss.android.ugc.trill
1777865569957,SCROLL,0,332027,com.ss.android.ugc.trill
1777865570160,SCROLL,0,332692,com.ss.android.ugc.trill
1777865570260,SCROLL,0,333973,com.ss.android.ugc.trill
1777865570389,SCROLL,0,333987,com.ss.android.ugc.trill
1777865589509,SCROLL,0,334042,com.ss.android.ugc.trill
1777865589615,SCROLL,0,334046,com.ss.android.ugc.trill
1777865589773,SCROLL,0,334044,com.ss.android.ugc.trill
1777865590042,SCROLL,0,334041,com.ss.android.ugc.trill
1777865590181,SCROLL,0,334039,com.ss.android.ugc.trill
1777865590415,SCROLL,0,334043,com.ss.android.ugc.trill
1777865591579,SCROLL,0,334033,com.ss.android.ugc.trill
1777865591724,SCROLL,0,334032,com.ss.android.ugc.trill
1777865592110,SCROLL,0,334025,com.ss.android.ugc.trill
1777865593488,SCROLL,0,334056,com.ss.android.ugc.trill
1777865593594,SCROLL,0,334061,com.ss.android.ugc.trill
1777865594461,SCROLL,0,334059,com.ss.android.ugc.trill
1777865594796,SCROLL,0,334056,com.ss.android.ugc.trill
1777865595641,SCROLL,0,333989,com.ss.android.ugc.trill
1777865595755,SCROLL,0,333987,com.ss.android.ugc.trill
1777865595977,CLICK,0,0,com.ss.android.ugc.trill
1777865596916,SCROLL,0,334156,com.ss.android.ugc.trill
1777865597022,SCROLL,0,334157,com.ss.android.ugc.trill
1777865597155,SCROLL,0,334329,com.ss.android.ugc.trill
1777865597258,SCROLL,0,335871,com.ss.android.ugc.trill
1777865597365,SCROLL,0,336036,com.ss.android.ugc.trill
1777865598368,SCROLL,0,337833,com.ss.android.ugc.trill
1777865598479,SCROLL,0,338085,com.ss.android.ugc.trill
1777865600242,SCROLL,95,0,com.ss.android.ugc.trill
1777865600346,SCROLL,130,0,com.ss.android.ugc.trill
1777865600455,SCROLL,13,0,com.ss.android.ugc.trill
1777865600562,SCROLL,0,0,com.ss.android.ugc.trill
1777865600795,SCROLL,0,0,com.ss.android.ugc.trill
1777865601454,SCROLL,0,0,com.ss.android.ugc.trill
1777865601714,SCROLL,358,0,com.ss.android.ugc.trill
1777865601814,SCROLL,825,0,com.ss.android.ugc.trill
1777865601922,SCROLL,1011,0,com.ss.android.ugc.trill
1777865602028,SCROLL,1066,0,com.ss.android.ugc.trill
1777865602128,SCROLL,1079,0,com.ss.android.ugc.trill
1777865602256,SCROLL,1080,0,com.ss.android.ugc.trill
1777865602523,SCROLL,1531,0,com.ss.android.ugc.trill
1777865602631,SCROLL,1947,0,com.ss.android.ugc.trill
1777865602740,SCROLL,2107,0,com.ss.android.ugc.trill
1777865602848,SCROLL,2152,0,com.ss.android.ugc.trill
1777865602957,SCROLL,2160,0,com.ss.android.ugc.trill
1777865607856,SCROLL,2297,0,com.ss.android.ugc.trill
1777865607963,SCROLL,2846,0,com.ss.android.ugc.trill
1777865608072,SCROLL,3110,0,com.ss.android.ugc.trill
1777865608173,SCROLL,3213,0,com.ss.android.ugc.trill
1777865608281,SCROLL,3237,0,com.ss.android.ugc.trill
1777865608387,SCROLL,3240,0,com.ss.android.ugc.trill
1777865608773,SCROLL,3547,0,com.ss.android.ugc.trill
1777865608880,SCROLL,4051,0,com.ss.android.ugc.trill
1777865608990,SCROLL,4249,0,com.ss.android.ugc.trill
1777865609098,SCROLL,4309,0,com.ss.android.ugc.trill
1777865609206,SCROLL,4319,0,com.ss.android.ugc.trill
1777865609314,SCROLL,4320,0,com.ss.android.ugc.trill
1777865612912,SCROLL,4324,0,com.ss.android.ugc.trill
1777865613061,SCROLL,4360,0,com.ss.android.ugc.trill
1777865613171,SCROLL,4376,0,com.ss.android.ugc.trill
1777865613285,SCROLL,4379,0,com.ss.android.ugc.trill
1777865613453,SCROLL,4397,0,com.ss.android.ugc.trill
1777865613562,SCROLL,4406,0,com.ss.android.ugc.trill
1777865613670,SCROLL,4540,0,com.ss.android.ugc.trill
